"0.1" "0.25" "0.5" "1" "1.25" "1.5" "other"
"CAT" C C C C C C N
"1" 270659.872459474 256414.664919555 242202.368907004 226704.007878928 220163.18576969 214273.208423107 N
"2" 287279.394291942 267078.677065172 250533.449374579 233229.41134276 228369.687401761 223252.6293603 Y
"3" 295792.50905139 283581.14936537 269164.663296521 252176.26135566 244606.494488904 237026.193213236 N
"4" 300835.392521535 293330.05946152 277974.006440415 258531.310007267 254700.17382177 247910.022704424 N
"5" 303825.947872528 296235.302472916 282473.602352712 267751.92256931 262016.492106511 254826.940295875 N
"6" 306896.397787502 297593.671124607 284837.144439494 273035.923573099 265709.818576979 261832.960148004 Y
"7" 311718.213092672 303718.968800018 288383.461889889 275185.773836343 271271.795383188 266268.376571271 M
"8" 311005.999671152 302910.370061377 292370.523634496 279166.966454195 275658.807565365 271369.456462481 Y
"9" 312329.630096785 306001.377687951 295543.318489107 286434.991629577 281987.806559721 278381.455799936 C
"10" 314729.623264049 308377.73247729 299658.902072147 289888.085023987 287167.379957113 283110.0461632 F
"LAP" 324383.717198967 323181.976768127 321693.412258182 318943.006752403 317483.566760653 316120.097086977 F
"EXP" 311253.835907209 311065.364379041 311143.032196346 311226.579155892 311190.987195232 311165.516548531 E
