C N C N N N
39 State-gov 13 Never-married Not-in-family 0
50 Self-emp-not-inc 13 Married-civ-spouse Husband 0
38 Private 9 Divorced Not-in-family 0
53 Private 7 Married-civ-spouse Husband 0
28 Private 13 Married-civ-spouse Wife 0
37 Private 14 Married-civ-spouse Wife 0
49 Private 5 Married-spouse-absent Not-in-family 0
52 Self-emp-not-inc 9 Married-civ-spouse Husband 1
31 Private 14 Never-married Not-in-family 1
42 Private 13 Married-civ-spouse Husband 1
37 Private 10 Married-civ-spouse Husband 1
30 State-gov 13 Married-civ-spouse Husband 1
23 Private 13 Never-married Own-child 0
32 Private 12 Never-married Not-in-family 0
40 Private 11 Married-civ-spouse Husband 1
34 Private 4 Married-civ-spouse Husband 0
25 Self-emp-not-inc 9 Never-married Own-child 0
32 Private 9 Never-married Unmarried 0
38 Private 7 Married-civ-spouse Husband 0
43 Self-emp-not-inc 14 Divorced Unmarried 1
40 Private 16 Married-civ-spouse Husband 1
54 Private 9 Separated Unmarried 0
35 Federal-gov 5 Married-civ-spouse Husband 0
43 Private 7 Married-civ-spouse Husband 0
59 Private 9 Divorced Unmarried 0
56 Local-gov 13 Married-civ-spouse Husband 1
19 Private 9 Never-married Own-child 0
39 Private 9 Divorced Not-in-family 0
49 Private 9 Married-civ-spouse Husband 0
23 Local-gov 12 Never-married Not-in-family 0
20 Private 10 Never-married Own-child 0
45 Private 13 Divorced Own-child 0
30 Federal-gov 10 Married-civ-spouse Own-child 0
22 State-gov 10 Married-civ-spouse Husband 0
48 Private 7 Never-married Unmarried 0
21 Private 10 Never-married Own-child 0
19 Private 9 Married-AF-spouse Wife 0
31 Private 10 Married-civ-spouse Husband 1
48 Self-emp-not-inc 12 Married-civ-spouse Husband 0
31 Private 5 Married-civ-spouse Husband 0
53 Self-emp-not-inc 13 Married-civ-spouse Husband 0
24 Private 13 Married-civ-spouse Husband 0
49 Private 9 Separated Unmarried 0
25 Private 9 Never-married Not-in-family 0
57 Federal-gov 13 Married-civ-spouse Husband 1
53 Private 9 Married-civ-spouse Husband 0
44 Private 14 Divorced Unmarried 0
41 State-gov 11 Married-civ-spouse Husband 0
29 Private 11 Never-married Not-in-family 0
25 Private 10 Married-civ-spouse Wife 0
18 Private 9 Never-married Own-child 0
47 Private 15 Married-civ-spouse Wife 1
50 Federal-gov 13 Divorced Not-in-family 1
47 Self-emp-inc 9 Divorced Not-in-family 0
43 Private 10 Married-civ-spouse Husband 1
46 Private 3 Married-civ-spouse Husband 0
35 Private 11 Married-civ-spouse Husband 0
41 Private 9 Married-civ-spouse Husband 0
30 Private 9 Married-civ-spouse Husband 0
30 Private 13 Married-civ-spouse Husband 0
48 Private 9 Married-civ-spouse Husband 0
42 Private 16 Married-civ-spouse Husband 1
29 Private 10 Divorced Not-in-family 0
36 Private 9 Married-civ-spouse Husband 0
28 Private 10 Divorced Not-in-family 0
53 Private 9 Married-civ-spouse Wife 1
49 Self-emp-inc 10 Married-civ-spouse Husband 1
19 Private 10 Never-married Own-child 0
31 Private 13 Separated Own-child 0
29 Self-emp-not-inc 13 Married-civ-spouse Husband 1
23 Private 10 Never-married Not-in-family 0
79 Private 10 Married-civ-spouse Other-relative 0
27 Private 9 Never-married Own-child 0
40 Private 12 Married-civ-spouse Husband 0
18 Private 7 Never-married Own-child 0
31 Local-gov 4 Married-civ-spouse Husband 0
18 Private 9 Never-married Not-in-family 0
52 Private 13 Married-civ-spouse Husband 0
46 Private 9 Married-civ-spouse Wife 0
59 Private 9 Married-civ-spouse Husband 0
44 Private 9 Divorced Not-in-family 1
53 Private 9 Divorced Own-child 0
49 Local-gov 9 Married-civ-spouse Husband 1
33 Private 14 Married-civ-spouse Husband 0
30 Private 5 Never-married Not-in-family 0
43 Federal-gov 16 Never-married Not-in-family 1
57 Private 11 Married-civ-spouse Husband 0
37 Private 10 Divorced Unmarried 0
28 Private 10 Divorced Unmarried 0
30 Private 9 Married-civ-spouse Wife 0
34 Local-gov 13 Married-civ-spouse Husband 1
29 Local-gov 10 Never-married Not-in-family 0
48 Self-emp-not-inc 16 Married-civ-spouse Husband 1
37 Private 10 Married-civ-spouse Husband 1
48 Private 12 Divorced Unmarried 0
32 Federal-gov 9 Never-married Own-child 0
76 Private 14 Married-civ-spouse Husband 1
44 Private 13 Married-civ-spouse Husband 1
47 Self-emp-not-inc 14 Never-married Not-in-family 0
20 Private 10 Never-married Own-child 0
29 Private 9 Never-married Not-in-family 0
32 Self-emp-inc 9 Married-civ-spouse Husband 1
30 Private 7 Never-married Own-child 0
31 Local-gov 9 Never-married Not-in-family 0
42 Private 9 Married-civ-spouse Husband 0
24 Private 13 Never-married Other-relative 0
38 Private 15 Married-civ-spouse Husband 1
56 Self-emp-not-inc 9 Married-civ-spouse Husband 1
28 Private 10 Married-civ-spouse Wife 0
36 Private 9 Never-married Own-child 0
53 Private 5 Married-civ-spouse Husband 0
56 Self-emp-inc 10 Married-civ-spouse Husband 0
49 Local-gov 11 Married-civ-spouse Husband 1
55 Private 10 Married-civ-spouse Husband 0
22 Private 9 Never-married Not-in-family 0
21 Private 10 Never-married Own-child 0
40 Private 13 Married-civ-spouse Husband 0
30 Private 13 Never-married Own-child 0
29 State-gov 13 Married-civ-spouse Husband 1
19 Private 10 Never-married Own-child 0
47 Private 13 Married-civ-spouse Wife 1
20 Private 10 Never-married Own-child 0
31 Private 12 Married-civ-spouse Husband 1
39 Private 10 Divorced Not-in-family 0
28 Private 12 Never-married Not-in-family 0
24 Private 9 Never-married Not-in-family 0
38 Self-emp-not-inc 9 Married-civ-spouse Husband 0
37 Private 13 Married-civ-spouse Husband 0
46 Private 12 Divorced Not-in-family 0
38 Federal-gov 14 Married-civ-spouse Husband 1
43 Self-emp-not-inc 9 Married-civ-spouse Husband 0
27 Private 11 Married-civ-spouse Wife 0
20 Private 10 Never-married Own-child 0
49 Private 10 Married-civ-spouse Husband 1
61 Self-emp-inc 9 Married-civ-spouse Husband 0
27 Private 10 Never-married Own-child 0
19 Private 10 Never-married Own-child 0
45 Private 11 Never-married Not-in-family 1
70 Private 10 Never-married Other-relative 0
31 Private 9 Never-married Unmarried 0
22 Private 10 Married-civ-spouse Husband 0
36 Private 9 Widowed Unmarried 0
64 Private 7 Married-civ-spouse Husband 0
47 Local-gov 10 Divorced Unmarried 0
34 Private 9 Never-married Not-in-family 0
33 Private 13 Never-married Other-relative 0
21 Private 9 Never-married Own-child 0
48 Private 9 Married-civ-spouse Husband 0
23 Private 13 Never-married Not-in-family 0
71 Self-emp-not-inc 10 Separated Unmarried 0
29 Private 9 Divorced Not-in-family 0
42 Private 13 Separated Other-relative 0
25 Private 9 Never-married Unmarried 0
44 Self-emp-inc 14 Divorced Unmarried 0
28 Private 9 Never-married Not-in-family 0
45 Self-emp-not-inc 14 Married-civ-spouse Husband 1
36 Private 10 Divorced Unmarried 0
39 Federal-gov 12 Never-married Not-in-family 0
46 State-gov 14 Widowed Unmarried 0
18 Private 7 Never-married Own-child 0
66 Local-gov 11 Widowed Not-in-family 0
27 Private 9 Never-married Not-in-family 0
28 State-gov 9 Married-civ-spouse Husband 0
51 Private 10 Married-civ-spouse Husband 1
27 Private 13 Never-married Not-in-family 0
28 State-gov 13 Married-civ-spouse Husband 1
27 Private 9 Married-spouse-absent Unmarried 0
21 Private 9 Never-married Own-child 0
34 Private 9 Never-married Not-in-family 0
18 Private 9 Never-married Own-child 0
33 Private 13 Married-civ-spouse Husband 0
44 Local-gov 10 Married-civ-spouse Husband 1
43 Private 10 Divorced Not-in-family 0
30 Private 10 Never-married Not-in-family 0
40 Private 4 Married-civ-spouse Husband 1
37 Federal-gov 10 Married-civ-spouse Husband 1
34 Private 9 Married-civ-spouse Husband 0
41 Self-emp-not-inc 13 Divorced Not-in-family 0
31 Private 14 Married-civ-spouse Wife 0
58 State-gov 16 Married-civ-spouse Husband 1
38 Private 10 Divorced Not-in-family 0
24 Private 10 Married-civ-spouse Husband 0
41 Local-gov 13 Married-civ-spouse Husband 0
47 Private 10 Married-civ-spouse Husband 0
41 Federal-gov 13 Married-civ-spouse Husband 0
23 Private 3 Married-civ-spouse Other-relative 0
36 Private 10 Divorced Not-in-family 0
40 Federal-gov 14 Never-married Not-in-family 1
35 Private 14 Married-civ-spouse Other-relative 1
24 Self-emp-not-inc 9 Never-married Not-in-family 0
26 Private 14 Never-married Not-in-family 0
51 Private 13 Married-civ-spouse Husband 1
42 Local-gov 10 Never-married Not-in-family 0
37 State-gov 9 Divorced Unmarried 0
18 Private 7 Never-married Own-child 0
36 Private 13 Married-civ-spouse Husband 1
35 Private 9 Divorced Not-in-family 0
58 Self-emp-inc 9 Married-civ-spouse Wife 1
17 Private 7 Never-married Own-child 0
44 Local-gov 9 Married-civ-spouse Husband 0
37 Private 9 Married-civ-spouse Husband 1
35 Private 10 Never-married Not-in-family 0
60 Private 9 Married-civ-spouse Husband 0
54 Self-emp-inc 4 Married-civ-spouse Husband 1
37 Private 13 Never-married Not-in-family 1
50 Private 12 Divorced Not-in-family 0
38 Private 13 Married-civ-spouse Husband 0
45 Private 13 Married-civ-spouse Husband 0
25 Private 6 Never-married Not-in-family 0
31 Private 10 Married-civ-spouse Husband 0
90 Private 9 Never-married Not-in-family 0
54 Private 9 Married-civ-spouse Husband 0
53 Local-gov 1 Never-married Not-in-family 0
18 Private 9 Never-married Own-child 0
66 Self-emp-not-inc 9 Married-civ-spouse Husband 0
75 Private 11 Widowed Not-in-family 0
65 Private 9 Divorced Not-in-family 0
35 Private 7 Separated Not-in-family 0
41 Private 9 Divorced Unmarried 0
25 Private 10 Never-married Not-in-family 0
33 Private 10 Divorced Other-relative 0
28 Private 15 Never-married Not-in-family 1
59 State-gov 9 Married-civ-spouse Husband 0
40 State-gov 10 Never-married Not-in-family 0
41 Private 13 Married-civ-spouse Husband 1
38 Local-gov 14 Married-civ-spouse Husband 1
23 Private 9 Never-married Own-child 0
40 Private 13 Married-civ-spouse Husband 1
41 Self-emp-not-inc 9 Married-civ-spouse Wife 0
24 State-gov 12 Married-civ-spouse Husband 0
38 Private 10 Divorced Not-in-family 0
56 Private 9 Married-civ-spouse Husband 0
58 Private 9 Married-civ-spouse Husband 1
32 Private 9 Never-married Not-in-family 0
40 Private 12 Married-civ-spouse Husband 1
45 Private 9 Married-civ-spouse Husband 0
41 Private 15 Married-civ-spouse Wife 1
42 Private 13 Married-civ-spouse Wife 0
59 Local-gov 6 Widowed Unmarried 0
19 Local-gov 10 Never-married Own-child 0
58 Private 10 Never-married Not-in-family 0
42 Self-emp-not-inc 9 Married-civ-spouse Husband 1
20 Private 9 Never-married Own-child 0
32 Private 9 Separated Not-in-family 0
45 Private 11 Widowed Not-in-family 0
50 Private 4 Divorced Not-in-family 0
36 Private 13 Divorced Own-child 0
45 Private 9 Married-civ-spouse Husband 0
17 Private 7 Never-married Own-child 0
59 Private 10 Married-civ-spouse Husband 0
26 Private 7 Married-civ-spouse Husband 0
37 Self-emp-inc 10 Married-civ-spouse Husband 1
64 Private 9 Married-civ-spouse Husband 1
33 Private 13 Never-married Not-in-family 0
33 Private 9 Married-civ-spouse Wife 1
61 Private 9 Married-civ-spouse Husband 1
17 Private 5 Never-married Own-child 0
50 Self-emp-not-inc 14 Married-civ-spouse Husband 0
27 Local-gov 14 Never-married Own-child 0
30 Private 9 Divorced Own-child 0
43 Private 9 Married-civ-spouse Husband 0
44 Private 10 Married-civ-spouse Husband 1
35 Private 10 Never-married Not-in-family 0
25 Private 10 Never-married Own-child 0
24 Private 10 Married-civ-spouse Wife 1
22 Private 13 Never-married Not-in-family 0
42 Local-gov 10 Married-civ-spouse Husband 1
34 Private 12 Divorced Unmarried 0
60 Private 13 Divorced Not-in-family 0
21 Private 9 Never-married Own-child 0
57 Federal-gov 14 Married-civ-spouse Husband 1
41 Private 15 Married-civ-spouse Husband 1
50 Private 10 Divorced Not-in-family 0
25 Private 13 Never-married Not-in-family 0
50 Private 4 Married-civ-spouse Husband 0
36 Private 13 Married-civ-spouse Husband 0
31 Private 9 Divorced Not-in-family 0
29 Local-gov 13 Never-married Not-in-family 0
21 Private 10 Never-married Own-child 0
27 Private 13 Never-married Unmarried 0
65 Private 9 Married-civ-spouse Husband 0
37 Self-emp-inc 13 Divorced Not-in-family 0
24 Private 9 Never-married Own-child 0
38 Private 9 Divorced Not-in-family 0
48 Private 13 Married-civ-spouse Husband 1
21 Private 10 Never-married Not-in-family 0
31 Private 9 Married-civ-spouse Husband 1
55 Private 9 Married-civ-spouse Husband 1
24 Private 10 Married-civ-spouse Wife 0
43 Private 9 Divorced Not-in-family 0
26 Private 12 Never-married Not-in-family 0
46 Private 12 Never-married Not-in-family 0
35 Private 12 Married-civ-spouse Husband 1
41 Self-emp-inc 10 Married-civ-spouse Husband 1
26 Private 13 Never-married Not-in-family 0
34 Private 14 Married-civ-spouse Husband 1
36 Self-emp-not-inc 13 Divorced Not-in-family 1
22 Private 10 Never-married Own-child 0
24 Private 10 Never-married Not-in-family 0
77 Self-emp-not-inc 10 Married-civ-spouse Husband 0
22 Private 3 Married-civ-spouse Other-relative 0
29 Private 10 Never-married Not-in-family 0
62 Private 9 Widowed Not-in-family 0
39 Self-emp-not-inc 9 Married-civ-spouse Husband 0
43 Private 10 Married-civ-spouse Husband 0
35 Private 9 Divorced Not-in-family 0
29 Private 7 Never-married Not-in-family 0
76 Self-emp-not-inc 14 Married-civ-spouse Husband 0
63 Self-emp-not-inc 9 Married-civ-spouse Husband 0
43 Private 10 Married-civ-spouse Wife 1
58 Self-emp-not-inc 9 Married-civ-spouse Husband 0
66 Private 9 Never-married Not-in-family 0
41 Private 10 Never-married Not-in-family 0
26 Private 13 Never-married Not-in-family 0
47 Private 11 Never-married Not-in-family 0
55 Local-gov 6 Married-civ-spouse Husband 0
53 Private 9 Married-civ-spouse Husband 0
17 Private 3 Never-married Other-relative 0
30 Private 9 Never-married Other-relative 0
49 Private 14 Never-married Not-in-family 0
19 Private 9 Never-married Unmarried 0
45 Private 9 Married-civ-spouse Husband 0
26 Private 12 Never-married Not-in-family 0
38 Private 11 Married-civ-spouse Husband 1
36 State-gov 9 Married-civ-spouse Husband 1
33 Private 9 Never-married Not-in-family 0
22 State-gov 10 Never-married Own-child 0
43 Self-emp-not-inc 13 Never-married Not-in-family 0
56 Private 12 Married-spouse-absent Not-in-family 0
31 Private 13 Never-married Own-child 0
33 Private 13 Married-civ-spouse Husband 1
26 Private 9 Married-civ-spouse Husband 0
33 Private 13 Married-civ-spouse Husband 1
46 Local-gov 7 Married-civ-spouse Husband 0
38 Federal-gov 9 Married-civ-spouse Husband 1
65 Private 7 Widowed Unmarried 0
40 Private 11 Married-civ-spouse Husband 1
42 Private 9 Married-civ-spouse Wife 0
26 Self-emp-not-inc 5 Married-civ-spouse Husband 0
36 Private 6 Married-civ-spouse Wife 0
62 Private 14 Married-civ-spouse Husband 1
43 Private 13 Married-civ-spouse Husband 0
43 Private 13 Divorced Not-in-family 1
22 Private 9 Married-spouse-absent Not-in-family 0
28 Private 9 Married-civ-spouse Husband 0
